Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000400, 0.000000, 
20, 0.000004, 0.000000, 0.000000, 
20, 0.000004, 0.000000, 0.000000, 
20, 0.000004, 0.000000, 0.000000, 
20, 0.000084, 0.004000, 0.000000, 
20, 0.000228, 0.007200, 0.000000, 
20, 0.000424, 0.009800, 0.000000, 
20, 0.000680, 0.012800, 0.000000, 
20, 0.001004, 0.016200, 0.000000, 
20, 0.001404, 0.020000, 0.000000, 
20, 0.001888, 0.024200, 0.000000, 
20, 0.002464, 0.028800, 0.000000, 
20, 0.003140, 0.033800, 0.000000, 
20, 0.003924, 0.039200, 0.000000, 
20, 0.004824, 0.045000, 0.000000, 
20, 0.005848, 0.051200, 0.000000, 
20, 0.007004, 0.057800, 0.000000, 
20, 0.008300, 0.064800, 0.000000, 
20, 0.009744, 0.072200, 0.000000, 
20, 0.011344, 0.080000, 0.000000, 
20, 0.013108, 0.088200, 0.000000, 
20, 0.015044, 0.096800, 0.000000, 
20, 0.017160, 0.105800, 0.000000, 
20, 0.019464, 0.115200, 0.000000, 
20, 0.021964, 0.125000, 0.000000, 
20, 0.024668, 0.135200, 0.000000, 
20, 0.027584, 0.145800, 0.000000, 
20, 0.030720, 0.156800, 0.000000, 
20, 0.034084, 0.168200, 0.000000, 
20, 0.037684, 0.180000, 0.000000, 
20, 0.041528, 0.192200, 0.000000, 
20, 0.045624, 0.204800, 0.000000, 
20, 0.049980, 0.217800, 0.000000, 
20, 0.054604, 0.231200, 0.000000, 
20, 0.059504, 0.245000, 0.000000, 
20, 0.064688, 0.259200, 0.000000, 
20, 0.070164, 0.273800, 0.000000, 
20, 0.075940, 0.288800, 0.000000, 
20, 0.082024, 0.304200, 0.000000, 
20, 0.088424, 0.320000, 0.000000, 
20, 0.095148, 0.336200, 0.000000, 
20, 0.102204, 0.352800, 0.000000, 
20, 0.109600, 0.369800, 0.000000, 
20, 0.117344, 0.387200, 0.000000, 
20, 0.125444, 0.405000, 0.000000, 
20, 0.133908, 0.423200, 0.000000, 
20, 0.142744, 0.441800, 0.000000, 
20, 0.151960, 0.460800, 0.000000, 
20, 0.161564, 0.480200, 0.000000, 
20, 0.171564, 0.500000, 0.000000, 
20, 0.181968, 0.520200, 0.000000, 
20, 0.192784, 0.540800, 0.000000, 
20, 0.204020, 0.561800, 0.000000, 
20, 0.215684, 0.583200, 0.000000, 
20, 0.227784, 0.605000, 0.000000, 
20, 0.240328, 0.627200, 0.000000, 
20, 0.253324, 0.649800, 0.000000, 
20, 0.266780, 0.672800, 0.000000, 
20, 0.280704, 0.696200, 0.000000, 
20, 0.295104, 0.720000, 0.000000, 
20, 0.309988, 0.744200, 0.000000, 
20, 0.325364, 0.768800, 0.000000, 
20, 0.341240, 0.793800, 0.000000, 
20, 0.357624, 0.819200, 0.000000, 
20, 0.374524, 0.845000, 0.000000, 
20, 0.391948, 0.871200, 0.000000, 
20, 0.409904, 0.897800, 0.000000, 
20, 0.428400, 0.924800, 0.000000, 
20, 0.447444, 0.952200, 0.000000, 
20, 0.467044, 0.980000, 0.000000, 
20, 0.487208, 1.008200, 0.000000, 
20, 0.507944, 1.036800, 0.000000, 
20, 0.529260, 1.065800, 0.000000, 
20, 0.551164, 1.095200, 0.000000, 
20, 0.573664, 1.125000, 0.000000, 
20, 0.596768, 1.155200, 0.000000, 
20, 0.620484, 1.185800, 0.000000, 
20, 0.644820, 1.216800, 0.000000, 
20, 0.669784, 1.248200, 0.000000, 
20, 0.695384, 1.280000, 0.000000, 
20, 0.721628, 1.312200, 0.000000, 
20, 0.748524, 1.344800, 0.000000, 
20, 0.776080, 1.377800, 0.000000, 
20, 0.804304, 1.411200, 0.000000, 
20, 0.833204, 1.445000, 0.000000, 
20, 0.862788, 1.479200, 0.000000, 
20, 0.893064, 1.513800, 0.000000, 
20, 0.924040, 1.548800, 0.000000, 
20, 0.955724, 1.584200, 0.000000, 
20, 0.988124, 1.620000, 0.000000, 
20, 1.021248, 1.656200, 0.000000, 
20, 1.055104, 1.692800, 0.000000, 
20, 1.089700, 1.729800, 0.000000, 
20, 1.125044, 1.767200, 0.000000, 
20, 1.161144, 1.805000, 0.000000, 
20, 1.198008, 1.843200, 0.000000, 
20, 1.235644, 1.881800, 0.000000, 
20, 1.274060, 1.920800, 0.000000, 
20, 1.313264, 1.960200, 0.000000, 
20, 1.353264, 2.000000, 0.000000, 
20, 1.394064, 2.040000, 0.000000, 
20, 1.435664, 2.080000, 0.000000, 
20, 1.478064, 2.120000, 0.000000, 
20, 1.521264, 2.160000, 0.000000, 
20, 1.565264, 2.200000, 0.000000, 
20, 1.610064, 2.240000, 0.000000, 
20, 1.655664, 2.280000, 0.000000, 
20, 1.702064, 2.320000, 0.000000, 
20, 1.749264, 2.360000, 0.000000, 
20, 1.797264, 2.400000, 0.000000, 
20, 1.846064, 2.440000, 0.000000, 
