Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000400, 6.283175, 
20, 0.000005, 0.000059, 6.283176, 
20, 0.000008, 0.000132, 6.283179, 
20, 0.000013, 0.000235, 6.283184, 
20, 0.000081, 0.003410, 0.000005, 
20, 0.000214, 0.006672, 0.000016, 
20, 0.000396, 0.009082, 0.000030, 
20, 0.000633, 0.011862, 0.000048, 
20, 0.000933, 0.015012, 0.000072, 
20, 0.001304, 0.018534, 0.000100, 
20, 0.001752, 0.022426, 0.000135, 
20, 0.002286, 0.026689, 0.000176, 
20, 0.002913, 0.031323, 0.000225, 
20, 0.003639, 0.036327, 0.000281, 
20, 0.004473, 0.041702, 0.000346, 
20, 0.005422, 0.047448, 0.000420, 
20, 0.006494, 0.053565, 0.000503, 
20, 0.007695, 0.060053, 0.000596, 
20, 0.009033, 0.066912, 0.000699, 
20, 0.010516, 0.074141, 0.000814, 
20, 0.012151, 0.081742, 0.000941, 
20, 0.013945, 0.089713, 0.001080, 
20, 0.015906, 0.098056, 0.001232, 
20, 0.018041, 0.106770, 0.001397, 
20, 0.020358, 0.115855, 0.001576, 
20, 0.022865, 0.125311, 0.001770, 
20, 0.025567, 0.135139, 0.001979, 
20, 0.028474, 0.145338, 0.002204, 
20, 0.031592, 0.155909, 0.002445, 
20, 0.034929, 0.166852, 0.002703, 
20, 0.038493, 0.178166, 0.002978, 
20, 0.042290, 0.189852, 0.003271, 
20, 0.046328, 0.201910, 0.003583, 
20, 0.050615, 0.214340, 0.003913, 
20, 0.055158, 0.227142, 0.004263, 
20, 0.059964, 0.240317, 0.004634, 
20, 0.065041, 0.253864, 0.005025, 
20, 0.070397, 0.267784, 0.005437, 
20, 0.076038, 0.282077, 0.005870, 
20, 0.081973, 0.296743, 0.006326, 
20, 0.088209, 0.311782, 0.006805, 
20, 0.094753, 0.327195, 0.007307, 
20, 0.101612, 0.342981, 0.007833, 
20, 0.108795, 0.359141, 0.008383, 
20, 0.116309, 0.375676, 0.008958, 
20, 0.124160, 0.392585, 0.009559, 
20, 0.132358, 0.409868, 0.010185, 
20, 0.140908, 0.427527, 0.010837, 
20, 0.149820, 0.445561, 0.011516, 
20, 0.159099, 0.463970, 0.012223, 
20, 0.168754, 0.482755, 0.012957, 
20, 0.178792, 0.501917, 0.013719, 
20, 0.189222, 0.521455, 0.014511, 
20, 0.200049, 0.541370, 0.015331, 
20, 0.211282, 0.561662, 0.016180, 
20, 0.222929, 0.582332, 0.017060, 
20, 0.234996, 0.603381, 0.017970, 
20, 0.247493, 0.624808, 0.018911, 
20, 0.260425, 0.646614, 0.019884, 
20, 0.273801, 0.668800, 0.020888, 
20, 0.287628, 0.691366, 0.021924, 
20, 0.301914, 0.714312, 0.022992, 
20, 0.316667, 0.737640, 0.024093, 
20, 0.331894, 0.761349, 0.025227, 
20, 0.347603, 0.785441, 0.026395, 
20, 0.363801, 0.809916, 0.027597, 
20, 0.380497, 0.834774, 0.028833, 
20, 0.397697, 0.860017, 0.030103, 
20, 0.415410, 0.885644, 0.031408, 
20, 0.433643, 0.911657, 0.032748, 
20, 0.452404, 0.938057, 0.034123, 
20, 0.471701, 0.964844, 0.035534, 
20, 0.491542, 0.992019, 0.036981, 
20, 0.511933, 1.019583, 0.038464, 
20, 0.532884, 1.047537, 0.039983, 
20, 0.554402, 1.075881, 0.041538, 
20, 0.576494, 1.104617, 0.043130, 
20, 0.599169, 1.133746, 0.044758, 
20, 0.622434, 1.163268, 0.046424, 
20, 0.646298, 1.193184, 0.048126, 
20, 0.670768, 1.223497, 0.049865, 
20, 0.695852, 1.254206, 0.051641, 
20, 0.721558, 1.285313, 0.053455, 
20, 0.747895, 1.316819, 0.055306, 
20, 0.774869, 1.348725, 0.057193, 
20, 0.802490, 1.381034, 0.059118, 
20, 0.830765, 1.413745, 0.061080, 
20, 0.859702, 1.446860, 0.063079, 
20, 0.889309, 1.480381, 0.065114, 
20, 0.919596, 1.514309, 0.067187, 
20, 0.950569, 1.548645, 0.069296, 
20, 0.982236, 1.583391, 0.071441, 
20, 1.014607, 1.618549, 0.073622, 
20, 1.047690, 1.654120, 0.075840, 
20, 1.081492, 1.690106, 0.078092, 
20, 1.116022, 1.726508, 0.080380, 
20, 1.151289, 1.763329, 0.082703, 
20, 1.187300, 1.800569, 0.085061, 
20, 1.224065, 1.838231, 0.087452, 
20, 1.261591, 1.876317, 0.089878, 
20, 1.299884, 1.914640, 0.092336, 
20, 1.338944, 1.953016, 0.094825, 
20, 1.378773, 1.991443, 0.097346, 
20, 1.419371, 2.029925, 0.099897, 
20, 1.460741, 2.068463, 0.102476, 
20, 1.502882, 2.107057, 0.105083, 
20, 1.545796, 2.145709, 0.107716, 
20, 1.589484, 2.184421, 0.110374, 
20, 1.633948, 2.223194, 0.113057, 
20, 1.679189, 2.262028, 0.115762, 
20, 1.725207, 2.300926, 0.118489, 
20, 1.772005, 2.339888, 0.121236, 
20, 1.819584, 2.378917, 0.124002, 
20, 1.867944, 2.418012, 0.126786, 
20, 1.917087, 2.457176, 0.129587, 
20, 1.967015, 2.496410, 0.132402, 
20, 2.017730, 2.535715, 0.135231, 
20, 2.069232, 2.575092, 0.138073, 
20, 2.121522, 2.614542, 0.140925, 
20, 2.174604, 2.654067, 0.143786, 
20, 2.228477, 2.693668, 0.146656, 
20, 2.283144, 2.733346, 0.149531, 
20, 2.338606, 2.773102, 0.152411, 
20, 2.394865, 2.812937, 0.155295, 
20, 2.451922, 2.852853, 0.158180, 
20, 2.509779, 2.892850, 0.161065, 
20, 2.568438, 2.932930, 0.163949, 
20, 2.627899, 2.973093, 0.166830, 
20, 2.688166, 3.013342, 0.169705, 
20, 2.749240, 3.053675, 0.172574, 
20, 2.811122, 3.094096, 0.175435, 
20, 2.873814, 3.134604, 0.178286, 
20, 2.937318, 3.175201, 0.181125, 
20, 3.001636, 3.215888, 0.183951, 
20, 3.066769, 3.256664, 0.186761, 
20, 3.132719, 3.297533, 0.189555, 
20, 3.199489, 3.338493, 0.192330, 
20, 3.267080, 3.379546, 0.195084, 
20, 3.335494, 3.420694, 0.197815, 
20, 3.404733, 3.461935, 0.200522, 
20, 3.474798, 3.503273, 0.203203, 
20, 3.545692, 3.544706, 0.205856, 
20, 3.617417, 3.586237, 0.208479, 
20, 3.689974, 3.627865, 0.211070, 
20, 3.763366, 3.669592, 0.213627, 
20, 3.837595, 3.711418, 0.216148, 
20, 3.912661, 3.753343, 0.218631, 
20, 3.988569, 3.795369, 0.221075, 
20, 4.065319, 3.837497, 0.223477, 
20, 4.142913, 3.879726, 0.225835, 
20, 4.221351, 3.921864, 0.228148, 
20, 4.300625, 3.963715, 0.230412, 
20, 4.380730, 4.005280, 0.232626, 
20, 4.461662, 4.046557, 0.234788, 
20, 4.543413, 4.087545, 0.236895, 
20, 4.625977, 4.128244, 0.238945, 
20, 4.709350, 4.168653, 0.240936, 
20, 4.793526, 4.208771, 0.242866, 
20, 4.878498, 4.248597, 0.244733, 
20, 4.964260, 4.288130, 0.246534, 
20, 5.050808, 4.327370, 0.248268, 
20, 5.138134, 4.366315, 0.249932, 
20, 5.226233, 4.404964, 0.251525, 
20, 5.315100, 4.443317, 0.253044, 
20, 5.404727, 4.481372, 0.254488, 
20, 5.495110, 4.519130, 0.255854, 
20, 5.586242, 4.556588, 0.257141, 
20, 5.678116, 4.593746, 0.258346, 
20, 5.770729, 4.630603, 0.259467, 
20, 5.864072, 4.667158, 0.260503, 
20, 5.958140, 4.703411, 0.261452, 
20, 6.052927, 4.739361, 0.262312, 
20, 6.148427, 4.775006, 0.263080, 
20, 6.244634, 4.810346, 0.263756, 
20, 6.341542, 4.845380, 0.264336, 
20, 6.439144, 4.880108, 0.264821, 
20, 6.537435, 4.914528, 0.265206, 
20, 6.636407, 4.948640, 0.265492, 
20, 6.736056, 4.982443, 0.265675, 
20, 6.836375, 5.015937, 0.265755, 
20, 6.937357, 5.049120, 0.265729, 
20, 7.038997, 5.081992, 0.265596, 
20, 7.141288, 5.114552, 0.265354, 
20, 7.244224, 5.146800, 0.265001, 
20, 7.347799, 5.178735, 0.264535, 
20, 7.452006, 5.210356, 0.263956, 
20, 7.556839, 5.241662, 0.263260, 
20, 7.662292, 5.272652, 0.262448, 
20, 7.768359, 5.303327, 0.261516, 
20, 7.875033, 5.333684, 0.260463, 
20, 7.982307, 5.363724, 0.259288, 
20, 8.090176, 5.393445, 0.257989, 
20, 8.198633, 5.422847, 0.256565, 
20, 8.307671, 5.451928, 0.255013, 
20, 8.417285, 5.480688, 0.253333, 
20, 8.527468, 5.509125, 0.251523, 
20, 8.638212, 5.537238, 0.249581, 
20, 8.749513, 5.565027, 0.247506, 
20, 8.861363, 5.592490, 0.245296, 
20, 8.973755, 5.619625, 0.242951, 
20, 9.086684, 5.646430, 0.240468, 
20, 9.200142, 5.672905, 0.237846, 
20, 9.314123, 5.699048, 0.235084, 
20, 9.428620, 5.724856, 0.232181, 
20, 9.543627, 5.750328, 0.229135, 
20, 9.659136, 5.775461, 0.225946, 
20, 9.775141, 5.800253, 0.222611, 
20, 9.891635, 5.824702, 0.219131, 
20, 10.008611, 5.848804, 0.215503, 
20, 10.126062, 5.872556, 0.211728, 
20, 10.243981, 5.895956, 0.207803, 
20, 10.362361, 5.919000, 0.203728, 
20, 10.481195, 5.941684, 0.199503, 
20, 10.600475, 5.964004, 0.195126, 
20, 10.720194, 5.985957, 0.190598, 
20, 10.840345, 6.007537, 0.185917, 
20, 10.960920, 6.028739, 0.181082, 
20, 11.081911, 6.049560, 0.176095, 
20, 11.203311, 6.069992, 0.170954, 
20, 11.325111, 6.090031, 0.165659, 
20, 11.447305, 6.109671, 0.160210, 
20, 11.569883, 6.128904, 0.154608, 
20, 11.692837, 6.147725, 0.148852, 
20, 11.816160, 6.166127, 0.142944, 
20, 11.939842, 6.184101, 0.136883, 
20, 12.063875, 6.201641, 0.130670, 
20, 12.188249, 6.218739, 0.124306, 
20, 12.312957, 6.235385, 0.117793, 
20, 12.437989, 6.251572, 0.111130, 
20, 12.563334, 6.267291, 0.104320, 
20, 12.688985, 6.282532, 0.097365, 
20, 12.814931, 6.297287, 0.090265, 
