Delta Time, Position, Velocity, Heading, 
20, 0.000020, 0.001974, 0.000008, 
20, 0.000028, 0.000403, 0.000000, 
20, 0.000222, 0.009726, 6.283168, 
20, 0.000570, 0.017405, 6.283136, 
20, 0.001114, 0.027196, 6.283087, 
20, 0.001898, 0.039162, 6.283016, 
20, 0.002964, 0.053306, 6.282919, 
20, 0.004356, 0.069626, 6.282792, 
20, 0.006119, 0.088124, 6.282632, 
20, 0.008295, 0.108800, 6.282434, 
20, 0.010928, 0.131656, 6.282195, 
20, 0.014062, 0.156693, 6.281910, 
20, 0.017740, 0.183913, 6.281575, 
20, 0.022006, 0.213317, 6.281185, 
20, 0.026904, 0.244908, 6.280738, 
20, 0.032478, 0.278688, 6.280229, 
20, 0.038771, 0.314660, 6.279653, 
20, 0.045828, 0.352827, 6.279006, 
20, 0.053692, 0.393194, 6.278283, 
20, 0.062407, 0.435765, 6.277481, 
20, 0.072018, 0.480544, 6.276594, 
20, 0.082569, 0.527537, 6.275618, 
20, 0.094104, 0.576749, 6.274548, 
20, 0.106667, 0.628188, 6.273380, 
20, 0.120305, 0.681860, 6.272107, 
20, 0.135060, 0.737774, 6.270725, 
20, 0.150979, 0.795938, 6.269228, 
20, 0.168106, 0.856362, 6.267611, 
20, 0.186487, 0.919056, 6.265869, 
20, 0.206168, 0.984032, 6.263994, 
20, 0.227194, 1.051302, 6.261980, 
20, 0.249612, 1.120880, 6.259822, 
20, 0.273467, 1.192780, 6.257512, 
20, 0.298807, 1.267019, 6.255043, 
20, 0.325680, 1.343615, 6.252408, 
20, 0.354131, 1.422585, 6.249599, 
20, 0.384211, 1.503952, 6.246607, 
20, 0.415965, 1.587736, 6.243424, 
20, 0.449445, 1.673963, 6.240040, 
20, 0.484698, 1.762658, 6.236447, 
20, 0.521775, 1.853850, 6.232633, 
20, 0.560726, 1.947570, 6.228588, 
20, 0.601603, 2.043851, 6.224301, 
20, 0.644458, 2.142729, 6.219758, 
20, 0.689320, 2.243135, 6.214950, 
20, 0.736200, 2.343993, 6.209868, 
20, 0.785107, 2.445336, 6.204502, 
20, 0.836051, 2.547196, 6.198841, 
20, 0.889043, 2.649609, 6.192876, 
20, 0.944095, 2.752611, 6.186595, 
20, 1.001198, 2.855121, 6.179988, 
20, 1.060319, 2.956048, 6.173046, 
20, 1.121427, 3.055416, 6.165763, 
20, 1.184492, 3.153248, 6.158129, 
20, 1.249483, 3.249567, 6.150136, 
20, 1.316371, 3.344393, 6.141774, 
20, 1.385126, 3.437748, 6.133033, 
20, 1.455719, 3.529652, 6.123902, 
20, 1.528122, 3.620124, 6.114372, 
20, 1.602305, 3.709180, 6.104431, 
20, 1.678242, 3.796835, 6.094069, 
20, 1.755904, 3.883101, 6.083273, 
20, 1.835264, 3.967987, 6.072031, 
20, 1.916294, 4.051498, 6.060333, 
20, 1.998966, 4.133636, 6.048167, 
20, 2.083254, 4.214397, 6.035520, 
20, 2.169130, 4.293770, 6.022381, 
20, 2.256564, 4.371740, 6.008739, 
20, 2.345530, 4.448282, 5.994583, 
20, 2.435997, 4.523363, 5.979904, 
20, 2.527936, 4.596941, 5.964691, 
20, 2.621315, 4.668963, 5.948937, 
20, 2.716103, 4.739364, 5.932635, 
20, 2.812264, 4.808067, 5.915779, 
20, 2.909764, 4.874979, 5.898366, 
20, 3.008564, 4.939996, 5.880394, 
20, 3.108624, 5.002997, 5.861864, 
20, 3.209900, 5.063846, 5.842780, 
20, 3.312348, 5.122393, 5.823148, 
20, 3.415918, 5.178472, 5.802977, 
20, 3.520556, 5.231904, 5.782281, 
20, 3.626206, 5.282497, 5.761077, 
20, 3.732807, 5.330052, 5.739385, 
20, 3.840294, 5.374360, 5.717231, 
20, 3.948598, 5.415208, 5.694644, 
20, 4.057646, 5.452386, 5.671657, 
20, 4.167360, 5.485687, 5.648307, 
20, 4.277658, 5.514913, 5.624635, 
20, 4.388455, 5.539881, 5.600687, 
20, 4.499664, 5.560427, 5.576510, 
20, 4.611192, 5.576412, 5.552155, 
20, 4.722947, 5.587725, 5.527675, 
20, 4.834832, 5.594286, 5.503124, 
20, 4.946739, 5.595329, 5.478561, 
20, 5.058556, 5.590846, 5.454045, 
20, 5.170188, 5.581587, 5.429630, 
20, 5.281540, 5.567618, 5.405371, 
20, 5.392521, 5.549036, 5.381319, 
20, 5.503040, 5.525969, 5.357522, 
20, 5.613012, 5.498571, 5.334029, 
20, 5.722352, 5.467017, 5.310880, 
20, 5.830982, 5.431498, 5.288116, 
20, 5.938826, 5.392218, 5.265771, 
20, 6.045814, 5.349387, 5.243877, 
20, 6.151878, 5.303217, 5.222459, 
20, 6.256957, 5.253918, 5.201541, 
20, 6.360991, 5.201695, 5.181141, 
20, 6.463925, 5.146744, 5.161275, 
20, 6.565710, 5.089248, 5.141952, 
20, 6.666298, 5.029380, 5.123182, 
