Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000398, 0.000028, 
20, 0.000009, 0.000249, 0.000023, 
20, 0.000020, 0.000561, 0.000012, 
20, 0.000066, 0.002274, 6.283177, 
20, 0.000196, 0.006528, 6.283147, 
20, 0.000384, 0.009400, 6.283103, 
20, 0.000640, 0.012795, 6.283043, 
20, 0.000974, 0.016712, 6.282965, 
20, 0.001397, 0.021152, 6.282866, 
20, 0.001920, 0.026115, 6.282744, 
20, 0.002552, 0.031601, 6.282596, 
20, 0.003304, 0.037610, 6.282420, 
20, 0.004187, 0.044142, 6.282213, 
20, 0.005211, 0.051199, 6.281973, 
20, 0.006386, 0.058780, 6.281698, 
20, 0.007724, 0.066886, 6.281384, 
20, 0.009234, 0.075517, 6.281030, 
20, 0.010928, 0.084674, 6.280633, 
20, 0.012815, 0.094359, 6.280190, 
20, 0.014906, 0.104571, 6.279699, 
20, 0.017213, 0.115311, 6.279157, 
20, 0.019744, 0.126581, 6.278562, 
20, 0.022512, 0.138382, 6.277911, 
20, 0.025526, 0.150714, 6.277201, 
20, 0.028798, 0.163580, 6.276430, 
20, 0.032337, 0.176980, 6.275595, 
20, 0.036156, 0.190916, 6.274694, 
20, 0.040264, 0.205390, 6.273723, 
20, 0.044672, 0.220404, 6.272679, 
20, 0.049391, 0.235959, 6.271561, 
20, 0.054432, 0.252058, 6.270365, 
20, 0.059806, 0.268702, 6.269089, 
20, 0.065524, 0.285895, 6.267728, 
20, 0.071597, 0.303638, 6.266281, 
20, 0.078035, 0.321934, 6.264744, 
20, 0.084851, 0.340787, 6.263114, 
20, 0.092055, 0.360198, 6.261388, 
20, 0.099659, 0.380172, 6.259563, 
20, 0.107673, 0.400711, 6.257635, 
20, 0.116109, 0.421819, 6.255602, 
20, 0.124979, 0.443499, 6.253459, 
20, 0.134294, 0.465756, 6.251203, 
20, 0.144066, 0.488593, 6.248831, 
20, 0.154306, 0.512015, 6.246338, 
20, 0.165027, 0.536025, 6.243722, 
20, 0.176239, 0.560629, 6.240978, 
20, 0.187956, 0.585830, 6.238103, 
20, 0.200189, 0.611634, 6.235092, 
20, 0.212950, 0.638046, 6.231941, 
20, 0.226251, 0.665070, 6.228646, 
20, 0.240105, 0.692713, 6.225203, 
20, 0.254525, 0.720978, 6.221608, 
20, 0.269522, 0.749873, 6.217855, 
20, 0.285110, 0.779402, 6.213940, 
20, 0.301302, 0.809571, 6.209858, 
20, 0.318109, 0.840385, 6.205605, 
20, 0.335547, 0.871851, 6.201176, 
20, 0.353626, 0.903974, 6.196565, 
20, 0.372361, 0.936760, 6.191767, 
20, 0.391765, 0.970214, 6.186778, 
20, 0.411852, 1.004341, 6.181590, 
20, 0.432635, 1.039147, 6.176200, 
20, 0.454128, 1.074637, 6.170601, 
20, 0.476344, 1.110814, 6.164788, 
20, 0.499298, 1.147684, 6.158755, 
20, 0.523003, 1.185250, 6.152496, 
20, 0.547473, 1.223515, 6.146005, 
20, 0.572723, 1.262480, 6.139277, 
20, 0.598766, 1.302149, 6.132304, 
20, 0.625616, 1.342520, 6.125082, 
20, 0.653288, 1.383593, 6.117604, 
20, 0.681795, 1.425367, 6.109865, 
20, 0.711152, 1.467837, 6.101858, 
20, 0.741372, 1.510998, 6.093578, 
20, 0.772469, 1.554845, 6.085019, 
20, 0.804456, 1.599366, 6.076175, 
20, 0.837347, 1.644551, 6.067042, 
20, 0.871155, 1.690386, 6.057615, 
20, 0.905892, 1.736854, 6.047888, 
20, 0.941571, 1.783935, 6.037859, 
20, 0.978203, 1.831606, 6.027522, 
20, 1.015800, 1.879840, 6.016874, 
20, 1.054372, 1.928608, 6.005914, 
20, 1.093929, 1.977873, 5.994639, 
20, 1.134481, 2.027599, 5.983047, 
20, 1.176036, 2.077740, 5.971139, 
20, 1.218601, 2.128251, 5.958915, 
20, 1.262183, 2.179078, 5.946376, 
20, 1.306786, 2.230165, 5.933526, 
20, 1.352415, 2.281451, 5.920368, 
20, 1.399072, 2.332869, 5.906907, 
20, 1.446759, 2.384349, 5.893150, 
20, 1.495476, 2.435818, 5.879106, 
20, 1.545220, 2.487197, 5.864782, 
20, 1.595988, 2.538406, 5.850192, 
20, 1.647775, 2.589363, 5.835347, 
20, 1.700575, 2.639983, 5.820261, 
20, 1.754378, 2.690180, 5.804952, 
20, 1.809176, 2.739870, 5.789436, 
20, 1.864955, 2.788970, 5.773733, 
20, 1.921698, 2.837120, 5.757866, 
20, 1.979377, 2.883970, 5.741860, 
20, 2.037966, 2.929455, 5.725741, 
20, 2.097436, 2.973519, 5.709538, 
20, 2.157759, 3.016113, 5.693280, 
20, 2.218903, 3.057199, 5.676996, 
20, 2.280838, 3.096749, 5.660716, 
20, 2.343533, 3.134744, 5.644470, 
20, 2.406956, 3.171178, 5.628290, 
20, 2.471077, 3.206055, 5.612206, 
20, 2.535865, 3.239389, 5.596247, 
20, 2.601289, 3.271205, 5.580445, 
20, 2.667320, 3.301536, 5.564827, 
20, 2.733928, 3.330426, 5.549423, 
20, 2.801087, 3.357924, 5.534259, 
20, 2.868769, 3.384087, 5.519362, 
20, 2.936948, 3.408976, 5.504756, 
20, 3.005601, 3.432657, 5.490466, 
20, 3.074705, 3.455197, 5.476514, 
20, 3.144239, 3.476667, 5.462920, 
20, 3.214181, 3.497135, 5.449705, 
20, 3.284515, 3.516669, 5.436886, 
20, 3.355221, 3.535336, 5.424481, 
20, 3.426285, 3.553200, 5.412506, 
20, 3.497692, 3.570317, 5.400974, 
20, 3.569422, 3.586509, 5.389901, 
20, 3.641454, 3.601599, 5.379300, 
20, 3.713767, 3.615646, 5.369184, 
20, 3.786341, 3.628702, 5.359564, 
20, 3.859157, 3.640814, 5.350451, 
20, 3.932197, 3.652017, 5.341856, 
20, 4.005444, 3.662344, 5.333787, 
20, 4.078881, 3.671817, 5.326253, 
20, 4.152490, 3.680451, 5.319264, 
20, 4.226255, 3.688254, 5.312827, 
