Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000400, 6.283160, 
20, 0.000008, 0.000187, 6.283164, 
20, 0.000016, 0.000421, 6.283172, 
20, 0.000026, 0.000469, 0.000001, 
20, 0.000102, 0.003831, 0.000024, 
20, 0.000212, 0.005517, 0.000057, 
20, 0.000363, 0.007509, 0.000102, 
20, 0.000559, 0.009807, 0.000161, 
20, 0.000807, 0.012412, 0.000235, 
20, 0.001114, 0.015323, 0.000327, 
20, 0.001484, 0.018541, 0.000438, 
20, 0.001926, 0.022064, 0.000570, 
20, 0.002443, 0.025894, 0.000725, 
20, 0.003044, 0.030029, 0.000905, 
20, 0.003733, 0.034470, 0.001111, 
20, 0.004518, 0.039217, 0.001346, 
20, 0.005403, 0.044268, 0.001611, 
20, 0.006396, 0.049625, 0.001909, 
20, 0.007501, 0.055287, 0.002241, 
20, 0.008726, 0.061254, 0.002608, 
20, 0.010077, 0.067524, 0.003014, 
20, 0.011559, 0.074099, 0.003459, 
20, 0.013178, 0.080976, 0.003945, 
20, 0.014942, 0.088157, 0.004476, 
20, 0.016854, 0.095641, 0.005051, 
20, 0.018923, 0.103427, 0.005674, 
20, 0.021153, 0.111514, 0.006347, 
20, 0.023551, 0.119902, 0.007070, 
20, 0.026123, 0.128590, 0.007847, 
20, 0.028875, 0.137579, 0.008679, 
20, 0.031812, 0.146866, 0.009567, 
20, 0.034941, 0.156451, 0.010516, 
20, 0.038268, 0.166334, 0.011525, 
20, 0.041798, 0.176513, 0.012597, 
20, 0.045538, 0.186989, 0.013734, 
20, 0.049493, 0.197758, 0.014939, 
20, 0.053669, 0.208822, 0.016213, 
20, 0.058073, 0.220179, 0.017559, 
20, 0.062709, 0.231827, 0.018978, 
20, 0.067585, 0.243766, 0.020473, 
20, 0.072705, 0.255994, 0.022045, 
20, 0.078075, 0.268510, 0.023698, 
20, 0.083701, 0.281314, 0.025433, 
20, 0.089589, 0.294403, 0.027253, 
20, 0.095745, 0.307777, 0.029159, 
20, 0.102173, 0.321434, 0.031154, 
20, 0.108881, 0.335373, 0.033241, 
20, 0.115873, 0.349592, 0.035422, 
20, 0.123155, 0.364090, 0.037698, 
20, 0.130732, 0.378866, 0.040073, 
20, 0.138610, 0.393918, 0.042550, 
20, 0.146795, 0.409245, 0.045129, 
20, 0.155292, 0.424845, 0.047815, 
20, 0.164106, 0.440716, 0.050608, 
20, 0.173244, 0.456859, 0.053513, 
20, 0.182709, 0.473270, 0.056531, 
20, 0.192508, 0.489950, 0.059666, 
20, 0.202646, 0.506896, 0.062919, 
20, 0.213128, 0.524107, 0.066293, 
20, 0.223960, 0.541583, 0.069791, 
20, 0.235146, 0.559323, 0.073416, 
20, 0.246693, 0.577324, 0.077171, 
20, 0.258604, 0.595587, 0.081057, 
20, 0.270887, 0.614112, 0.085079, 
20, 0.283545, 0.632897, 0.089237, 
20, 0.296583, 0.651943, 0.093537, 
20, 0.310008, 0.671249, 0.097979, 
20, 0.323825, 0.690816, 0.102567, 
20, 0.338038, 0.710645, 0.107303, 
20, 0.352652, 0.730735, 0.112191, 
20, 0.367674, 0.751090, 0.117232, 
20, 0.383108, 0.771709, 0.122430, 
20, 0.398960, 0.792596, 0.127787, 
20, 0.415235, 0.813753, 0.133305, 
20, 0.431939, 0.835182, 0.138988, 
20, 0.449077, 0.856888, 0.144837, 
20, 0.466654, 0.878875, 0.150855, 
20, 0.484677, 0.901147, 0.157045, 
20, 0.503151, 0.923711, 0.163407, 
20, 0.522083, 0.946572, 0.169945, 
20, 0.541477, 0.969737, 0.176660, 
20, 0.561342, 0.993215, 0.183554, 
20, 0.581682, 1.017015, 0.190628, 
20, 0.602505, 1.041146, 0.197884, 
20, 0.623817, 1.065620, 0.205322, 
20, 0.645626, 1.090448, 0.212945, 
20, 0.667939, 1.115643, 0.220752, 
20, 0.690764, 1.141219, 0.228744, 
20, 0.714107, 1.167192, 0.236920, 
20, 0.737979, 1.193579, 0.245281, 
20, 0.762387, 1.220396, 0.253826, 
20, 0.787340, 1.247664, 0.262555, 
20, 0.812848, 1.275402, 0.271464, 
20, 0.838921, 1.303632, 0.280554, 
20, 0.865568, 1.332377, 0.289821, 
20, 0.892802, 1.361661, 0.299263, 
20, 0.920632, 1.391508, 0.308876, 
20, 0.949071, 1.421946, 0.318657, 
20, 0.978131, 1.453001, 0.328602, 
20, 1.007825, 1.484701, 0.338706, 
20, 1.038163, 1.516926, 0.348962, 
20, 1.069154, 1.549557, 0.359363, 
20, 1.100807, 1.582619, 0.369900, 
20, 1.133130, 1.616141, 0.380564, 
20, 1.166133, 1.650148, 0.391345, 
20, 1.199826, 1.684668, 0.402233, 
20, 1.234220, 1.719724, 0.413219, 
20, 1.269327, 1.755341, 0.424291, 
20, 1.305158, 1.791542, 0.435437, 
20, 1.341725, 1.828347, 0.446645, 
20, 1.379040, 1.865776, 0.457905, 
20, 1.417117, 1.903846, 0.469201, 
20, 1.455969, 1.942574, 0.480523, 
20, 1.495608, 1.981971, 0.491857, 
20, 1.536049, 2.022050, 0.503189, 
20, 1.577306, 2.062818, 0.514506, 
20, 1.619391, 2.104283, 0.525795, 
20, 1.662320, 2.146446, 0.537041, 
20, 1.706106, 2.189311, 0.548230, 
20, 1.750764, 2.232875, 0.559350, 
20, 1.796307, 2.277135, 0.570386, 
20, 1.842748, 2.322086, 0.581326, 
20, 1.890103, 2.367719, 0.592155, 
20, 1.938383, 2.414025, 0.602860, 
20, 1.987603, 2.460992, 0.613428, 
20, 2.037775, 2.508606, 0.623848, 
20, 2.088912, 2.556854, 0.634105, 
20, 2.141027, 2.605719, 0.644189, 
20, 2.194130, 2.655185, 0.654087, 
20, 2.248235, 2.705234, 0.663788, 
20, 2.303352, 2.755849, 0.673281, 
20, 2.359492, 2.807012, 0.682555, 
20, 2.416666, 2.858704, 0.691600, 
20, 2.474885, 2.910909, 0.700405, 
20, 2.534157, 2.963608, 0.708962, 
20, 2.594492, 3.016785, 0.717260, 
20, 2.655901, 3.070425, 0.725291, 
20, 2.718391, 3.124514, 0.733045, 
20, 2.781972, 3.179037, 0.740515, 
20, 2.846652, 3.233984, 0.747692, 
20, 2.912439, 3.289344, 0.754567, 
20, 2.979341, 3.345109, 0.761133, 
20, 3.047366, 3.401272, 0.767383, 
