Delta Time, Position, Velocity, Heading, 
20, 0.000020, 0.001972, 0.000000, 
20, 0.000068, 0.002430, 0.000000, 
20, 0.000246, 0.008874, 0.000000, 
20, 0.000561, 0.015775, 0.000000, 
20, 0.001054, 0.024649, 0.000000, 
20, 0.001764, 0.035495, 0.000000, 
20, 0.002730, 0.048312, 0.000000, 
20, 0.003992, 0.063101, 0.000000, 
20, 0.005590, 0.079863, 0.000000, 
20, 0.007562, 0.098596, 0.000000, 
20, 0.009948, 0.119301, 0.000000, 
20, 0.012787, 0.141978, 0.000000, 
20, 0.016120, 0.166627, 0.000000, 
20, 0.019985, 0.193248, 0.000000, 
20, 0.024422, 0.221841, 0.000000, 
20, 0.029470, 0.252406, 0.000000, 
20, 0.035169, 0.284943, 0.000000, 
20, 0.041558, 0.319451, 0.000000, 
20, 0.048676, 0.355932, 0.000000, 
20, 0.056564, 0.394384, 0.000000, 
20, 0.065260, 0.434809, 0.000000, 
20, 0.074804, 0.477205, 0.000000, 
20, 0.085236, 0.521573, 0.000000, 
20, 0.096594, 0.567913, 0.000000, 
20, 0.108918, 0.616226, 0.000000, 
20, 0.122249, 0.666510, 0.000000, 
20, 0.136624, 0.718765, 0.000000, 
20, 0.152084, 0.772993, 0.000000, 
20, 0.168668, 0.829193, 0.000000, 
20, 0.186415, 0.887365, 0.000000, 
20, 0.205345, 0.946522, 0.000000, 
20, 0.225459, 1.005680, 0.000000, 
20, 0.246756, 1.064838, 0.000000, 
20, 0.269236, 1.123995, 0.000000, 
20, 0.292899, 1.183153, 0.000000, 
20, 0.317745, 1.242311, 0.000000, 
20, 0.343774, 1.301468, 0.000000, 
20, 0.370987, 1.360626, 0.000000, 
20, 0.399382, 1.419784, 0.000000, 
20, 0.428961, 1.478941, 0.000000, 
20, 0.459723, 1.538099, 0.000000, 
20, 0.491668, 1.597257, 0.000000, 
20, 0.524797, 1.656414, 0.000000, 
20, 0.559108, 1.715572, 0.000000, 
20, 0.594603, 1.774730, 0.000000, 
20, 0.631280, 1.833887, 0.000000, 
20, 0.669141, 1.893045, 0.000000, 
20, 0.708185, 1.952203, 0.000000, 
20, 0.748413, 2.011360, 0.000000, 
