Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000397, 4.712372, 
20, 0.000007, 0.000175, 4.712375, 
20, 0.000015, 0.000394, 4.712383, 
20, 0.000037, 0.001089, 4.712397, 
20, 0.000115, 0.003869, 4.712418, 
20, 0.000226, 0.005572, 4.712449, 
20, 0.000378, 0.007584, 4.712491, 
20, 0.000576, 0.009906, 4.712546, 
20, 0.000826, 0.012537, 4.712615, 
20, 0.001136, 0.015478, 4.712701, 
20, 0.001511, 0.018728, 4.712805, 
20, 0.001956, 0.022288, 4.712928, 
20, 0.002480, 0.026158, 4.713073, 
20, 0.003086, 0.030337, 4.713241, 
20, 0.003783, 0.034826, 4.713434, 
20, 0.004575, 0.039625, 4.713654, 
20, 0.005470, 0.044733, 4.713902, 
20, 0.006473, 0.050151, 4.714179, 
20, 0.007591, 0.055878, 4.714489, 
20, 0.008829, 0.061916, 4.714832, 
20, 0.010194, 0.068263, 4.715210, 
20, 0.011693, 0.074920, 4.715625, 
20, 0.013330, 0.081887, 4.716078, 
20, 0.015114, 0.089164, 4.716572, 
20, 0.017049, 0.096751, 4.717108, 
20, 0.019142, 0.104648, 4.717687, 
20, 0.021399, 0.112856, 4.718312, 
20, 0.023826, 0.121373, 4.718984, 
20, 0.026430, 0.130201, 4.719704, 
20, 0.029217, 0.139340, 4.720475, 
20, 0.032193, 0.148789, 4.721299, 
20, 0.035364, 0.158549, 4.722176, 
20, 0.038736, 0.168620, 4.723108, 
20, 0.042316, 0.179002, 4.724098, 
20, 0.046110, 0.189696, 4.725147, 
20, 0.050124, 0.200702, 4.726256, 
20, 0.054364, 0.212019, 4.727428, 
20, 0.058837, 0.223649, 4.728663, 
20, 0.063549, 0.235591, 4.729964, 
20, 0.068506, 0.247846, 4.731332, 
20, 0.073714, 0.260415, 4.732769, 
20, 0.079180, 0.273297, 4.734277, 
20, 0.084910, 0.286494, 4.735856, 
20, 0.090910, 0.300006, 4.737510, 
20, 0.097187, 0.313833, 4.739238, 
20, 0.103747, 0.327977, 4.741044, 
20, 0.110595, 0.342438, 4.742928, 
20, 0.117740, 0.357217, 4.744892, 
20, 0.125186, 0.372314, 4.746937, 
20, 0.132941, 0.387732, 4.749066, 
20, 0.141010, 0.403470, 4.751279, 
20, 0.149401, 0.419531, 4.753578, 
20, 0.158119, 0.435915, 4.755964, 
20, 0.167171, 0.452624, 4.758440, 
