Delta Time, Position, Velocity, Heading, 
20, 0.003100, 0.310000, 3.141334, 
20, 0.016662, 0.678115, 3.140183, 
20, 0.043802, 1.356975, 3.137866, 
20, 0.084549, 2.037348, 3.134355, 
20, 0.138950, 2.720045, 3.129601, 
20, 0.207069, 3.405950, 3.123543, 
20, 0.288990, 4.096045, 3.116096, 
20, 0.384818, 4.791443, 3.107156, 
20, 0.494687, 5.493431, 3.096593, 
20, 0.618757, 6.203510, 3.084245, 
20, 0.757226, 6.923459, 3.069918, 
20, 0.910334, 7.655394, 3.053374, 
20, 1.078371, 8.401845, 3.034325, 
20, 1.261688, 9.165844, 3.012424, 
20, 1.460708, 9.950999, 2.987250, 
20, 1.675939, 10.761559, 2.958301, 
20, 1.907987, 11.602402, 2.924975, 
20, 2.157565, 12.478882, 2.886566, 
20, 2.425492, 13.396371, 2.842260, 
20, 2.712677, 14.359257, 2.791155, 
20, 3.020058, 15.369030, 2.732318, 
20, 3.348480, 16.421073, 2.664909, 
20, 3.698481, 17.500082, 2.588387, 
20, 4.069984, 18.575151, 2.502826, 
20, 4.461938, 19.597670, 2.409265, 
20, 4.867983, 20.302280, 2.310939, 
20, 5.276714, 20.436551, 2.213024, 
20, 5.680848, 20.206682, 2.119677, 
20, 6.077957, 19.855456, 2.033308, 
20, 6.466624, 19.433365, 1.955322, 
20, 6.846369, 18.987228, 1.886193, 
20, 7.217393, 18.551226, 1.825716, 
20, 7.580304, 18.145527, 1.773289, 
20, 7.935887, 17.779132, 1.728127, 
20, 8.284961, 17.453740, 1.689418, 
20, 8.628301, 17.166974, 1.656393, 
20, 8.966592, 16.914559, 1.628371, 
20, 9.300424, 16.691619, 1.604767, 
20, 9.630291, 16.493344, 1.585091, 
20, 9.956597, 16.315299, 1.568943, 
20, 10.279668, 16.153519, 1.556000, 
20, 10.599758, 16.004498, 1.546009, 
20, 10.917060, 15.865132, 1.538778, 
20, 11.231713, 15.732637, 1.534171, 
20, 11.543802, 15.604462, 1.532102, 
20, 11.853366, 15.478208, 1.532534, 
20, 12.160397, 15.351545, 1.535473, 
20, 12.464840, 15.222125, 1.540975, 
20, 12.766590, 15.087506, 1.549143, 
20, 13.065491, 14.945061, 1.560130, 
20, 13.361329, 14.791901, 1.574150, 
20, 13.653825, 14.624782, 1.591477, 
20, 13.942625, 14.440034, 1.612461, 
20, 14.227296, 14.233511, 1.637533, 
20, 14.507308, 14.000611, 1.667213, 
20, 14.782036, 13.736423, 1.702122, 
20, 15.050759, 13.436141, 1.742972, 
20, 15.312678, 13.095921, 1.790553, 
20, 15.566967, 12.714450, 1.845681, 
20, 15.812877, 12.295500, 1.909095, 
20, 16.049907, 11.851498, 1.981292, 
20, 16.278053, 11.407336, 2.062273, 
20, 16.498098, 11.002229, 2.151266, 
20, 16.711818, 10.686010, 2.246512, 
20, 16.921237, 10.470955, 2.344949, 
20, 17.126852, 10.280723, 2.441959, 
20, 17.328172, 10.066018, 2.532960, 
20, 17.525670, 9.874923, 2.615480, 
20, 17.720025, 9.717718, 2.688849, 
20, 17.911056, 9.551571, 2.753241, 
20, 18.098084, 9.351370, 2.809329, 
20, 18.280205, 9.106086, 2.858003, 
20, 18.456479, 8.813703, 2.900194, 
20, 18.626020, 8.477048, 2.936778, 
20, 18.788041, 8.101051, 2.968533, 
20, 18.941865, 7.691193, 2.996129, 
20, 19.086920, 7.252724, 3.020131, 
20, 19.222726, 6.790330, 3.041014, 
20, 19.348887, 6.308052, 3.059170, 
20, 19.465073, 5.809302, 3.074926, 
20, 19.571012, 5.296935, 3.088550, 
20, 19.666479, 4.773338, 3.100266, 
20, 19.751289, 4.240505, 3.110256, 
20, 19.825291, 3.700117, 3.118670, 
20, 19.888363, 3.153597, 3.125629, 
20, 19.940407, 2.602169, 3.131230, 
20, 19.981345, 2.046900, 3.135549, 
20, 20.011119, 1.488734, 3.138644, 
20, 20.029690, 0.928530, 3.140554, 
20, 20.038006, 0.415799, 3.141405, 
20, 20.039842, 0.091790, 3.141593, 
20, 20.039842, 0.000000, 3.141593, 
